,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
13,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Gao,N'tillit,,Miners (Mali),Mali,7157752,2020-07-07,MLI4014,4014,Violence against civilians,0,1,3,7,37,466,MLI,16.2036,Intahaka,-0.4769,"On 7 July 2020, unknown gunmen shot and wounded a gold miner in Intahaka (Gao, Gao).",Western Africa,Undisclosed Source,Local partner-Other,Attack,1,1594671476,2020
14,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Ansongo,Ansongo,,Aid Workers (Mali),Mali,7157229,2020-07-06,MLI4010,4010,Violence against civilians,0,1,3,7,37,466,MLI,15.6597,Ansongo,0.5022,"On 6 July 2020, unknown gunmen abducted two NGO staff members in Ansongo (Ansongo, Gao). The abductees were released on July 9.",Western Africa,Studio Tamani; Whatsapp,New media-National,Abduction/forced disappearance,1,1594671474,2020
15,Dogon Ethnic Militia (Mali),Civilians (Mali),Mopti,Koro,Kassa,Farmers (Mali),Dogon Ethnic Group (Mali); Farmers (Mali),Mali,7157230,2020-07-06,MLI4011,4011,Violence against civilians,0,1,4,7,47,466,MLI,14.7361,Berda,-3.0449,"On 6 July 2020, Dogon militiamen from Berdossou attacked and burned the Dogon village of Berda (Koro, Mopti). No casualties reported.",Western Africa,Pinal (Mali); Koro Kibaru,New media,Attack,1,1594671474,2020
16,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Kidal,Kidal,Kidal,,,Mali,7157231,2020-07-06,MLI4012,4012,Explosions/Remote violence,0,1,2,8,28,466,MLI,18.4400,Kidal,1.4100,"On 6 July 2020, presumed JNIM militants detonated an IED against a MINUSMA vehicle in Kidal (Kidal, Kidal), and wounded 3 Chadian peacekeepers. Pro-Al-Qaeda Thabat Agency attributed the attack to JNIM.",Western Africa,Whatsapp; Rocket Chat; UN MINUSMA,Other-New media,Remote explosive/landmine/IED,1,1594671474,2020
17,Dogon Ethnic Militia (Mali),Civilians (Mali),Mopti,Koro,Kassa,Farmers (Mali),Dogon Ethnic Group (Mali); Farmers (Mali),Mali,7157232,2020-07-06,MLI4013,4013,Violence against civilians,0,1,4,7,47,466,MLI,14.7428,Saou,-3.0574,"On 6 July 2020, Dogon militiamen from Berdossou attacked and burned the Dogon village of Saou (Koro, Mopti). No casualties reported.",Western Africa,Pinal (Mali); Koro Kibaru,New media,Attack,1,1594671474,2020
18,Dan Na Ambassagou,Dogon Ethnic Militia (Mali),Mopti,Koro,Kassa,,Farmers (Mali),Mali,7157723,2020-07-05,MLI4004,4004,Battles,0,2,4,4,44,466,MLI,14.7354,Berdossou,-3.0544,"On 5 July 2020, Dan Na Ambassagou and Dogon militiamen clashed near the village of Berdossou (Koro, Mopti). No casualties reported.",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594671476,2020
19,Islamic State (Greater Sahara),Civilians (Mali),Gao,Ansongo,Tessit,,Tuareg Ethnic Group (Mali),Mali,7157225,2020-07-05,MLI4005,4005,Violence against civilians,0,1,2,7,27,466,MLI,15.1494,Haroum,0.3441,"On 5 July 2020, ISGS militants attacked the village of Haroum (Ansongo, Gao), abducted three members of the Tuareg Imghad community, including two sons of the village chief, and burned houses and three vehicles.",Western Africa,Kibaru; Twitter; Facebook,New media-National,Attack,1,1594671474,2020
20,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Bandiagara,Doucoumbo,,,Mali,7157226,2020-07-05,MLI4006,4006,Violence against civilians,4,1,2,7,27,466,MLI,14.4084,Kori Kori,-3.7506,"On 5 July 2020, suspected JNIM militants attacked two communal transport vehicles in Kori Kori (Bandiagara, Mopti), killed 4 people, abducted 1, and damaged the vehicles.",Western Africa,AMAP; Undisclosed Source; Le Pays Dogon,Local partner-Other,Attack,1,1594671474,2020
21,Islamic State (Greater Sahara),Civilians (Mali),Gao,Ansongo,Bourra,,Civilians (Togo); Labour Group (Mali); Labour Group (Togo),Mali,7157482,2020-07-05,MLI4009,4009,Violence against civilians,0,1,2,7,27,466,MLI,15.4729,Tassiga,0.6941,"On 5 July 2020, presumed ISGS militants entered the manganese factory in Tassiga (Ansongo, Gao), abducted three people, including a Togolese national, seized a truck, and burned phones.",Western Africa,Facebook,New media,Abduction/forced disappearance,1,1594671475,2020
22,Dogon Ethnic Militia (Mali),Fulani Ethnic Militia (Mali),Mopti,Bankass,Tori,Dan Na Ambassagou; Farmers (Mali),Pastoralists (Mali),Mali,7157227,2020-07-05,MLI4007,4007,Battles,0,1,4,4,44,466,MLI,13.6297,Nema,-3.7414,"On 5 July 2020, Dogon and Dana Ambassagou militiamen reportedly attacked the Fulani village of Nema (Bankass, Mopti). Fulani villagers repelled the attack.",Western Africa,Kisal; Jeunesse Tabital Pulaaku,New media,Armed clash,1,1594671474,2020
23,Military Forces of Mali (2013-),Civilians (Mali),Mopti,Bankass,Tori,Dogon Ethnic Militia (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),Mali,7157228,2020-07-05,MLI4008,4008,Strategic developments,0,1,1,7,17,466,MLI,13.6297,Nema,-3.7414,"On 5 July 2020, the Malian army guided by Dogon militiamen fired in the air and arrested dozens of Fulani villagers in Nema (Bankass, Mopti). Mugshots of those arrested circulated in local media and described it as an arrest operation of 50 ""terrorists"".",Western Africa,AMAP; Pinal (Mali); Jeunesse Tabital Pulaaku; Kisal; Koro Kibaru,New media-National,Arrests,1,1594671474,2020
24,Dogon Ethnic Militia (Mali),Civilians (Mali),Mopti,Koro,Kassa,,Dogon Ethnic Group (Mali); Farmers (Mali),Mali,7157728,2020-07-04,MLI4002,4002,Violence against civilians,3,1,4,7,47,466,MLI,14.7361,Berda,-3.0449,"On 4 July 2020, Dogon militiamen attacked the Dogon village of Berda (Koro, Mopti), and killed 3 Dogon civilians.",Western Africa,Undisclosed Source,Local partner-Other,Attack,1,1594671476,2020
25,Unidentified Armed Group (Mali),Civilians (Mali),Tombouctou,Gourma-Rharous,Gossi,,Labour Group (Mali),Mali,7157748,2020-07-04,MLI4003,4003,Violence against civilians,0,2,3,7,37,466,MLI,15.8196,Gossi,-1.2911,"On 4 July 2020, unknown gunmen aboard motorbikes robbed passengers of a vehicle before removing them, abducting the driver and seizing the vehicle between Gossi (Gourma-Rharous, Tombouctou) and Hombori.",Western Africa,Undisclosed Source,Local partner-Other,Abduction/forced disappearance,1,1594671476,2020
26,Unidentified Armed Group (Mali),Batourou Communal Militia (Mali),Mopti,Koro,Diougani,,,Mali,7157093,2020-07-03,MLI3998,3998,Battles,1,1,3,4,34,466,MLI,14.3198,Batourou,-2.8112,"Around 3 July 2020 (between 3 - 4 July), unknown gunmen attacked the village of Batourou (Koro, Mopti), and killed a militiaman of the village self-defense who also was the son of the Bakaye village chief.",Western Africa,Koro Kibaru; Undisclosed Source,Local partner-Other,Armed clash,2,1594671459,2020
27,Protesters (Mali),,Tombouctou,Niafunke,Souboundou,,,Mali,7153229,2020-07-02,MLI3996,3996,Protests,0,1,6,0,60,466,MLI,15.9322,Niafounke,-3.9906,"On 2 July 2020, several tens of residents staged a demonstration in Niafounke (Niafunke, Tombouctou) to demand the release of the head of Malian opposition, Soumaila Cisse, held hostage by presumed militants since March 25. [size=several tens]",Western Africa,AMAP,National,Peaceful protest,1,1594063538,2020
28,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Bankass,Tori,,,Mali,7153084,2020-07-02,MLI3994,3994,Battles,9,1,2,1,12,466,MLI,13.5959,Gouari,-3.5924,"On 2 July 2020, presumed JNIM militants ambushed a Malian army patrol in Gouari (Bankass, Mopti), killed 9 soldiers, wounded 2 others, and burned 4 vehicles.",Western Africa,Nord Sud Journal; Reuters; AFP; Essor; AMAP; Studio Tamani; Mali Jet; Kibaru; FAMAMali; Undisclosed Source; Mali Actu,Local partner-Other,Armed clash,1,1594063538,2020
29,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,Gao,Menaka,Menaka,,,Mali,7153617,2020-07-02,MLI3995,3995,Strategic developments,0,1,3,3,33,466,MLI,15.9182,Menaka,2.4022,"On 2 July 2020, unknown gunmen carjacked a vehicle from an MSA militiaman in the town of Menaka (Menaka, Menaka).",Western Africa,Undisclosed Source,Local partner-Other,Looting/property destruction,1,1594063540,2020
30,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Mopti,Douentza,Douentza Commune,,,Mali,7157719,2020-07-02,MLI4001,4001,Battles,0,2,2,8,28,466,MLI,14.9951,Douentza,-2.9517,"On 2 July 2020, suspected JNIM militants attacked a MINUSMA convoy escorting civilians 27km northeast of Douentza (Douentza, Mopti), the attack was repelled. No casualties reported.",Western Africa,UN MINUSMA,Other,Armed clash,1,1594671476,2020
31,Protesters (Mali),,Bamako,Bamako,Commune III,URD: Union for the Republic and Democracy,,Mali,7157224,2020-07-02,MLI3999,3999,Protests,0,1,6,0,60,466,MLI,12.6500,Bamako,-8.0000,"On 2 July 2020, several hundreds of activists of the Union for the Republic and Democracy (URD) staged a demonstration to mark day 100 of the abduction of opposition leader Soumaila Cisse in Bamako city (Bamako, Mali) and to reiterate the call for his release. [size=several hundreds]",Western Africa,RFI; Mali Actu,National-International,Peaceful protest,1,1594671474,2020
32,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Segou,Niono,Dogofry,,Labour Group (Mali),Mali,7157743,2020-07-02,MLI4000,4000,Violence against civilians,0,2,2,7,27,466,MLI,14.8059,Dogofri,-6.0182,"On 2 July 2020, suspected JNIM militants reportedly abducted 12 workers of a company installing fiber optic cable between Dogofri and Nampala (Niono, Segou).",Western Africa,Undisclosed Source,Local partner-Other,Abduction/forced disappearance,1,1594671476,2020
33,Islamic State (Greater Sahara),Civilians (Mali),Gao,Ansongo,Talataye,,Dawsahak Ethnic Group (Mali),Mali,7157092,2020-07-01,MLI3997,3997,Violence against civilians,5,2,2,7,27,466,MLI,16.1506,I-n-Deliman,1.4277,"Around 1 July 2020 (between 1 - 2 July), ISGS militants reportedly killed between 5 and 9 members of the Dawsahak community near In-Deliman (Ansongo, Gao).",Western Africa,Facebook; Kibaru; Undisclosed Source; Twitter,Local partner-Other,Attack,2,1594671459,2020
34,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),Mopti,Bankass,Diallassagou,,,Mali,7153078,2020-07-01,MLI3987,3987,Battles,2,2,2,4,24,466,MLI,13.7407,Diallassagou,-3.6264,"On 1 July 2020, suspected JNIM militants attacked the village of Pangadougou in Diallassagou Commune (Bankass, Mopti). Dogon militiamen defending the village were overpowered, and the attackers reportedly killed 2 people, burned the village, and seized livestock.",Western Africa,Kibaru; Undisclosed Source; Reelle Afrique; Reuters; Xinhua; Le Pays Dogon; AMAP; Koro Kibaru; RFI; Nord Sud Journal; AP; Mali Jet; AFP; Studio Tamani,Local partner-Other,Armed clash,1,1594063538,2020
35,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),Mopti,Bankass,Diallassagou,,,Mali,7153079,2020-07-01,MLI3988,3988,Battles,0,1,2,4,24,466,MLI,13.6500,Diallaye,-3.5230,"On 1 July 2020, suspected JNIM militants attacked the village of Dialaikanda [Diallaye] (Bankass, Mopti). Dogon militiamen defending the village were overpowered, and the attackers reportedly burned the village, and seized livestock.",Western Africa,Nord Sud Journal; Studio Tamani; RFI; Koro Kibaru; Kibaru; AMAP; Xinhua; Reelle Afrique; Le Pays Dogon; AP; Mali Jet; Reuters; AFP,Other-New media,Armed clash,1,1594063538,2020
36,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),Mopti,Bankass,Tori,,,Mali,7153080,2020-07-01,MLI3989,3989,Battles,15,1,2,4,24,466,MLI,13.6189,Djimindo,-3.5803,"On 1 July 2020, suspected JNIM militants attacked the village of Djimdo [Djimindo] (Bankass, Mopti). Dogon militiamen defending the village were overpowered, and the attackers reportedly killed 15 people, burned the village, and seized livestock.",Western Africa,Studio Tamani; Reuters; AFP; Reelle Afrique; AP; Undisclosed Source; Xinhua; Koro Kibaru; AMAP; Nord Sud Journal; Le Pays Dogon; RFI; Mali Jet; Kibaru,Local partner-Other,Armed clash,1,1594063538,2020
37,Military Forces of Mali (2013-),GATIA: Imghad Tuareg and Allies Self-Defense Group,Gao,Gao,Gao,,,Mali,7153081,2020-07-01,MLI3990,3990,Strategic developments,0,1,1,3,13,466,MLI,16.2717,Gao,-0.0447,"On 1 July 2020, the Malian army intercepted several vehicles and seized arms and ammunition in the city of Gao (Gao, Gao). The arms and ammunition reportedly belonged to GATIA militiamen.",Western Africa,Radio Guintan; Whatsapp,New media-National,Disrupted weapons use,1,1594063538,2020
38,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),Mopti,Bankass,Tori,,,Mali,7153082,2020-07-01,MLI3991,3991,Battles,16,1,2,4,24,466,MLI,13.5959,Gouari,-3.5924,"On 1 July 2020, suspected JNIM militants attacked the village of Gouari (Bankass, Mopti). Dogon militiamen defending the village were overpowered, and the attackers reportedly killed 16 people, burned the village, and seized livestock.",Western Africa,Kibaru; RFI; Reelle Afrique; Xinhua; Le Pays Dogon; Undisclosed Source; Nord Sud Journal; AFP; Reuters; AP; Mali Jet; AMAP; Studio Tamani; Koro Kibaru,Local partner-Other,Armed clash,1,1594063538,2020
39,Islamic State (Greater Sahara),Civilians (Mali),Gao,Ansongo,Bourra,,,Mali,7153083,2020-07-01,MLI3992,3992,Strategic developments,0,1,2,7,27,466,MLI,15.5557,Lelehoy,0.4944,"On 1 July 2020, ISGS militants burned the ferry station used to cross the Niger River in Lelehoy (Ansongo, Gao).",Western Africa,Gao Alhabar 24; Essor; Whatsapp; Twitter; Studio Tamani; Undisclosed Source,Local partner-Other,Looting/property destruction,1,1594063538,2020
40,Islamic State (Greater Sahara),Civilians (Mali),Gao,Ansongo,Talataye,,Dawsahak Ethnic Group (Mali),Mali,7153596,2020-07-01,MLI3993,3993,Strategic developments,0,2,2,7,27,466,MLI,16.3521,Nack,1.1390,"On 1 July 2020, ISGS militants reportedly seized a vehicle belonging to a member of the Dawsahak community at his camp in the area of Nack (Ansongo, Gao).",Western Africa,Undisclosed Source,Local partner-Other,Looting/property destruction,1,1594063540,2020
41,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Bankass,Sokoura,,,Mali,7153543,2020-06-30,MLI3986,3986,Violence against civilians,1,2,3,7,37,466,MLI,13.5025,Sokoura,-3.7660,"On 30 June 2020, unknown gunmen killed one individual and abducted another near the village of Poura-Boumba in the Sokoura commune (Bankass, Mopti).",Western Africa,Studio Tamani,Subnational,Attack,1,1594063540,2020
42,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Bankass,Sokoura,,,Mali,7153587,2020-06-30,MLI3985,3985,Strategic developments,0,1,3,7,37,466,MLI,13.5654,Hamdallaye,-3.6312,"On 30 June 2020, unknown gunmen seized two carts and livestock in the village of Hamdallaye (Bankass, Mopti).",Western Africa,Undisclosed Source,Local partner-Other,Looting/property destruction,1,1594063540,2020
43,Unidentified Armed Group (Mali),Dogon Ethnic Militia (Mali),Mopti,Bandiagara,Bara Sara,,,Mali,7153595,2020-06-30,MLI3984,3984,Battles,0,1,3,4,34,466,MLI,14.1538,Fangadougou,-4.0628,"On 30 June 2020, unknown gunmen clashed with Dogon militiamen in Fangadougou (Bandiagara, Mopti). Three Dogon were wounded.",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594063540,2020
44,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Mopti,Koro,Madougou,Pastoralists (Mali),,Mali,7157091,2020-06-29,MLI3979,3979,Battles,0,1,4,4,44,466,MLI,14.3974,Gangouroubourou,-3.0287,"On 29 June 2020, suspected Fulani militiamen attacked the Dogon village of Gangouroubourou (Koro, Mopti). Village self-defense repelled the attack, although the assailants seized livestock. No casualties reported.",Western Africa,Undisclosed Source; Studio Tamani; Koro Kibaru,Local partner-Other,Armed clash,1,1594671459,2020
45,Rioters (Mali),Unidentified Armed Group (Mali),Tombouctou,Goundam,Goundam Commune,Vigilante Group (Mali),,Mali,7153322,2020-06-29,MLI3980,3980,Riots,0,1,5,3,35,466,MLI,16.4167,Goundam,-3.6667,"On 29 June 2020, a number of residents reacted to an armed robbery and assaulted the gunman before handing him over to the gendarmerie in Goundam town (Goundam, Tombouctou). [size=no report]",Western Africa,Gao Alhabar 24,New media,Mob violence,1,1594063539,2020
46,Protesters (Mali),,Gao,Ansongo,Ansongo,,,Mali,7153074,2020-06-29,MLI3977,3977,Protests,0,1,6,0,60,466,MLI,15.6597,Ansongo,0.5022,"On 29 June 2020, a number of passengers on communal transport buses, who were subjected to a robbery between Labbezanga and Ansongo, staged a demonstration march upon arrival in Ansongo (Ansongo, Gao), and expressed their discontent to the deputy prefect. [size=no report]",Western Africa,Gao Alhabar 24; Undisclosed Source,Local partner-Other,Peaceful protest,1,1594063538,2020
47,Protesters (Mali),,Kayes,Kita,Kita Commune,,,Mali,7153076,2020-06-29,MLI3981,3981,Protests,0,1,6,0,60,466,MLI,13.0500,Kita,-9.4833,"On 29 June 2020, a number of residents staged a demonstration against prostitution, the use of drugs, and proliferation of bars in Kita (Kita, Kayes), with the demonstrators marching to the prefecture to express their grievances. The prefect agreed to the demands and decided to close down bars and brothels. [size=no report]",Western Africa,Mali Actu; AMAP; Essor,National,Peaceful protest,1,1594063538,2020
48,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),Gao,Ansongo,Tessit,,,Mali,7153077,2020-06-29,MLI3983,3983,Battles,0,2,2,2,22,466,MLI,15.2238,Tessit,0.2925,"On 29 June 2020, JNIM and ISGS militants reportedly clashed in the area between Bakel, Tessit Commune (Ansongo, Gao) and Ntillit (Gao, Gao). No reliable information available on eventual casualties.",Western Africa,Twitter; Undisclosed Source; Whatsapp,Local partner-Other,Armed clash,1,1594063538,2020
49,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Diougani,,,Mali,7153603,2020-06-29,MLI3978,3978,Strategic developments,0,1,3,7,37,466,MLI,14.3198,Batourou,-2.8112,"On 29 June 2020, unknown gunmen attacked the village of Batourou (Koro, Mopti) and seized all the livestock in the village.",Western Africa,Undisclosed Source,Local partner-Other,Looting/property destruction,1,1594063540,2020
50,Unidentified Armed Group (Mali),Police Forces of Mali (2013-),Gao,Menaka,Menaka,,,Mali,7153620,2020-06-29,MLI3982,3982,Battles,0,1,3,1,13,466,MLI,15.9182,Menaka,2.4022,"On 29 June 2020, unknown gunmen shot and wounded a security guard and seized goods at the regional health department in Menaka (Menaka, Menaka).",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594063540,2020
51,Dan Na Ambassagou,,Mopti,Koro,Kassa,,,Mali,7157150,2020-06-28,MLI3974,3974,Strategic developments,0,1,4,0,40,466,MLI,14.7354,Berdossou,-3.0544,"On 28 June 2020, Dan Na Ambassagou militiamen imposed a blockade on the Dogon village of Berdossou (Koro, Mopti), preventing movement in and out from the village.",Western Africa,Undisclosed Source,Local partner-Other,Change to group/activity,1,1594671459,2020
52,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Kidal,Kidal,Kidal,,,Mali,7153573,2020-06-28,MLI3975,3975,Explosions/Remote violence,0,1,2,7,27,466,MLI,18.4400,Kidal,1.4100,"On 28 June 2020, a civilian vehicle struck an IED in Kidal (Kidal, Kidal). The device was likely planted by JNIM militants. No casualties reported.",Western Africa,Undisclosed Source,Local partner-Other,Remote explosive/landmine/IED,1,1594063540,2020
53,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Gao,Gounzoureye,,Labour Group (Mali),Mali,7153073,2020-06-28,MLI3976,3976,Violence against civilians,1,1,3,7,37,466,MLI,16.1515,Tacharane,0.0708,"On 28 June 2020, unknown gunmen attacked a group of people in Tacharane (Gao, Gao), killed a man working as a technician, and robbed and abducted six others, including employees of a construction company and a pregnant woman. Two people were released after being ransomed. The pregnant woman was also later released.",Western Africa,AMAP; Essor; Undisclosed Source; Studio Tamani,Local partner-Other,Attack,1,1594063538,2020
54,Dan Na Ambassagou,Dogon Ethnic Militia (Mali),Mopti,Koro,Kassa,,,Mali,7153605,2020-06-27,MLI3973,3973,Battles,0,1,4,4,44,466,MLI,14.7354,Berdossou,-3.0544,"On 27 June 2020, Dan Na Ambassagou militiamen attacked the Dogon village of Berdossou (Koro, Mopti). Village self-defense responded to the attack, although nearly half of the village had been set ablaze. No casualties reported.",Western Africa,Undisclosed Source,Local partner-Other,Armed clash,1,1594063540,2020
